query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
C6_role1_o,1,4,2392.0,2392.0,6248.0,3752.0,2496.0,2684448.820234114,10000,872,141523
C6_role1_o,1,5,2393.0,2393.0,6235.0,3767.0,2468.0,2740345.089427497,10002,949,163015
SPO_o,1,1,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,1107,1005268
SPO_o,1,2,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,369,1014006
SPO_o,1,3,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,294,985701
SPO_o,1,4,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,232,1088334
SPO_o,1,5,5000.0,5000.0,10000.0,10000.0,0.0,1.0916931E7,10000,282,997607
c6_pc10_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,30764.4624,10000,2150,1673
c6_pc10_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,30182.9276,10000,994,1673
c6_pc10_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,30600.5084,10000,929,1673
c6_pc10_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,32141.676,10000,907,1673
c6_pc10_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,31194.758,10000,733,1673
c6_pc12_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,31334.5696,10000,2416,1711
c6_pc12_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,31400.272,10000,1231,1711
c6_pc12_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,31190.8456,10000,1148,1711
c6_pc12_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,30595.4176,10000,1061,1711
c6_pc12_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,30900.66,10000,1001,1711
Q-10169_v2,1,1,7749.0,88.0,350.0,88.0,262.0,341825.08220415545,10000,1169,65
Q-10169_v2,1,2,7716.0,85.0,340.0,85.0,255.0,450018.71772939345,10000,382,69
Q-10169_v2,1,3,7910.0,76.0,304.0,76.0,228.0,470763.42300884955,10000,432,64
Q-10169_v2,1,4,7730.0,86.0,341.0,86.0,255.0,411442.6737386805,10000,395,63
