query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
c6_pc14_o,7,5,54.0,50.0,10111,209,520
Q-10122_v2,7,5,466.0,12.0,10398,182,5205
Q-10025_v2,7,5,8660.0,0.0,10000,195,0
C6_role1_s,7,5,50.0,50.0,10100,194,31173
c6_pc5_s,7,5,51.0,50.0,10102,160,1684
c6_pc12_o,7,5,57.0,50.0,10116,264,583
c6_pc9_s,7,5,50.0,50.0,10100,171,1719
c6_pc10_o,7,5,52.0,50.0,10106,225,688
Q-10020_v4,7,5,494.0,12.0,10572,211,43307
c6_role0_o,7,5,51.0,50.0,10117,226,2930
c6_pc11_o,7,5,56.0,50.0,10112,230,574
c6_pc3_s,7,5,50.0,50.0,10100,175,1659
SPO_s,7,5,100.0,100.0,10100,127,96007
c6_role0_s,7,5,50.0,50.0,10100,219,58629
C6_role1_o,7,5,51.0,50.0,10115,234,2295
SPO_o,7,5,100.0,100.0,10100,131,13503
c6_pc10_s,7,5,50.0,50.0,10100,204,1673
c6_pc12_s,7,5,50.0,50.0,10100,164,1711
Q-10169_v2,7,5,1008.0,11.0,10016,225,3212
c6_pc5_o,7,5,55.0,50.0,10114,241,523
c6_pc9_o,7,5,66.0,50.0,10134,224,468
Q-10078_v4,8,5,9501.0,103.0,100229,1812,4594
c6_pc3_o,8,5,648.0,494.0,100103,1783,1569
c6_pc11_s,8,5,590.0,495.0,100180,1284,1693
c6_role2_o,8,5,523.0,495.0,100129,1862,15148
c6_pc14_s,8,5,548.0,495.0,100096,1143,2620
c6_role2_s,8,5,500.0,496.0,100200,1148,21187
Q-10082_v4,8,5,11614.0,98.0,100363,1933,4944
Q-10122_v3,8,5,3549.0,118.0,100403,1495,4038
Q-1003_v2,8,5,13550.0,106.0,100714,1879,2444
c6_pc14_o,8,5,741.0,493.0,100100,1651,1266
Q-10122_v2,8,5,3826.0,117.0,100065,1629,5631
Q-10025_v2,8,5,67979.0,18.0,100000,1734,268
C6_role1_s,8,5,497.0,496.0,100194,1378,31158
c6_pc5_s,8,5,585.0,495.0,100170,1102,1705
c6_pc12_o,8,5,764.0,493.0,100143,1632,1171
c6_pc9_s,8,5,588.0,495.0,100176,1175,1689
c6_pc10_o,8,5,710.0,493.0,100033,1701,1177
Q-10020_v4,8,5,5152.0,113.0,100367,1889,9381
c6_role0_o,8,5,525.0,494.0,100010,1542,16409
c6_pc11_o,8,5,730.0,493.0,100081,1589,1199
c6_pc3_s,8,5,581.0,495.0,100162,1217,1658
SPO_s,8,5,1000.0,991.0,100100,1019,95764
c6_role0_s,8,5,498.0,496.0,100196,1302,58469
C6_role1_o,8,5,535.0,495.0,100185,2008,14649
SPO_o,8,5,1033.0,990.0,100033,1040,16468
c6_pc10_s,8,5,590.0,495.0,100180,1293,1688
c6_pc12_s,8,5,578.0,495.0,100156,1169,1668
Q-10169_v2,8,5,9624.0,111.0,100363,1715,3151
c6_pc5_o,8,5,757.0,493.0,100133,1652,1250
c6_pc9_o,8,5,702.0,493.0,100020,1682,1243
Q-10078_v4,9,5,97037.0,1021.0,1000229,16536,7348
c6_pc3_o,9,5,10942.0,4891.0,1000152,14033,7409
c6_pc11_s,9,5,331400.0,1686.0,1000000,9667,1689
c6_role2_o,9,5,5590.0,4940.0,1000001,16774,60144
c6_pc14_s,9,5,241400.0,2586.0,1000000,10126,2593
c6_role2_s,9,5,5608.0,4944.0,1000016,10662,21243
Q-10082_v4,9,5,134309.0,935.0,1000602,16500,4360
Q-10122_v3,9,5,39128.0,1169.0,1000627,13061,4297
Q-1003_v2,9,5,138399.0,1048.0,1000635,15516,2730
c6_pc14_o,9,5,14929.0,4851.0,1000130,12120,7212
Q-10122_v2,9,5,38450.0,1169.0,1000207,11824,5738
Q-10025_v2,9,5,665930.0,193.0,1000597,15648,296
C6_role1_s,9,5,5415.0,4946.0,1000030,10658,31129
c6_pc5_s,9,5,331300.0,1687.0,1000000,9946,1687
c6_pc12_o,9,5,17109.0,4829.0,1000076,11803,6538
c6_pc9_s,9,5,328100.0,1719.0,1000000,9581,1722
c6_pc10_o,9,5,16615.0,4834.0,1000087,12112,6858
Q-10020_v4,9,5,53056.0,1124.0,1000423,17637,11860
c6_role0_o,9,5,5448.0,4938.0,1000047,14575,68656
c6_pc11_o,9,5,16596.0,4834.0,1000045,11734,6633
c6_pc3_s,9,5,334100.0,1659.0,1000000,9648,1661
SPO_s,9,5,10488.0,9896.0,1000088,8476,96791
c6_role0_s,9,5,5170.0,4949.0,1000140,10244,58451
C6_role1_o,9,5,5547.0,4940.0,1000140,16628,63839
SPO_o,9,5,11104.0,9889.0,1000004,9534,64431
c6_pc10_s,9,5,332700.0,1673.0,1000000,9720,1670
c6_pc12_s,9,5,328900.0,1711.0,1000000,9773,1708
Q-10169_v2,9,5,108321.0,1088.0,1000000,15275,3102
c6_pc5_o,9,5,16305.0,4837.0,1000068,12001,6717
c6_pc9_o,9,5,16917.0,4831.0,1000103,12204,6614
