query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_4957_v0,1,1,2665.0,1013.0,10002,2178,1576.2395749196546
query_4957_v0,1,2,2697.0,1001.0,10000,876,1539.9919122382282
query_4957_v0,1,3,2649.0,1028.0,10004,920,1577.2016908045284
query_4957_v0,1,4,2668.0,1007.0,10000,869,1585.7326242527029
query_4957_v0,1,5,2642.0,1026.0,10004,970,1604.019696611829
query_8423_v2,1,1,8588.0,0.0,10000,673,0.0
query_8423_v2,1,2,8517.0,2.0,10000,281,6.557750808543342
query_8423_v2,1,3,8476.0,2.0,10000,229,0.9448541670703674
query_8423_v2,1,4,8428.0,1.0,10000,239,0.7363334340078524
query_8423_v2,1,5,8623.0,0.0,10002,166,0.0
query_4207_v7,1,1,8826.0,26.0,10000,841,527.2452952352446
query_4207_v7,1,2,8855.0,30.0,10000,371,607.5501339413732
query_4207_v7,1,3,8942.0,18.0,10000,230,354.14203400389476
query_4207_v7,1,4,8881.0,23.0,10000,278,462.35341946782233
query_4207_v7,1,5,8937.0,22.0,10000,243,437.41059100949445
query_7351_v0,1,1,1431.0,925.0,10006,2277,29477.16142557652
query_7351_v0,1,2,1500.0,910.0,10000,1136,27942.096
query_7351_v0,1,3,1447.0,919.0,10000,1051,28903.65307532826
query_7351_v0,1,4,1492.0,919.0,10007,932,28001.881367292226
query_7351_v0,1,5,1490.0,916.0,10000,960,28099.573825503358
query_12015_v4,1,1,5131.0,38.0,10000,921,241.1846500897145
query_12015_v4,1,2,5192.0,28.0,10001,354,187.7661071930835
query_12015_v4,1,3,5015.0,43.0,10000,338,315.81741197365034
query_12015_v4,1,4,5133.0,46.0,10000,374,383.71943166529303
query_12015_v4,1,5,5055.0,52.0,10000,340,354.5881766797825
query_6102_v6,1,1,2255.0,23.0,10000,871,120.14230159703993
query_6102_v6,1,2,2237.0,33.0,10000,339,169.16178190543093
query_6102_v6,1,3,2234.0,41.0,10005,365,178.5638042311614
query_6102_v6,1,4,2234.0,26.0,10004,249,159.1731878153925
query_6102_v6,1,5,2243.0,40.0,10003,290,193.36816434539818
query_11914_v2,1,1,1306.0,1195.0,10004,2287,2573.846153846154
query_11914_v2,1,2,1308.0,1193.0,10004,1190,2592.3281596452325
query_11914_v2,1,3,1310.0,1190.0,10000,1149,2560.664993726474
query_11914_v2,1,4,1309.0,1192.0,10004,1127,2570.2090209020903
query_11914_v2,1,5,1305.0,1195.0,10000,825,2558.1838040255893
query_2023_v9,1,1,3055.0,68.0,10003,1059,1518.5184282769721
query_2023_v9,1,2,3170.0,44.0,10000,280,921.9585713344059
query_2023_v9,1,3,3135.0,61.0,10001,325,2359.4246027899
query_2023_v9,1,4,3219.0,48.0,10002,272,1207.3798628772283
query_2023_v9,1,5,3084.0,60.0,10002,324,1156.5805675580182
query_7029_v0,1,1,2665.0,1013.0,10002,1975,1576.2395749196546
query_7029_v0,1,2,2697.0,1001.0,10000,1005,1539.9919122382282
query_7029_v0,1,3,2649.0,1028.0,10004,930,1577.2016908045284
query_7029_v0,1,4,2668.0,1007.0,10000,898,1585.7326242527029
query_7029_v0,1,5,2642.0,1026.0,10004,837,1604.019696611829
query_517_v2,1,1,8588.0,0.0,10000,642,0.0
query_517_v2,1,2,8517.0,2.0,10000,285,6.557750808543342
query_517_v2,1,3,8476.0,2.0,10000,237,0.9448541670703674
query_517_v2,1,4,8428.0,1.0,10000,219,0.7363334340078524
query_517_v2,1,5,8623.0,0.0,10002,164,0.0
query_6731_v0,1,1,2793.0,376.0,10000,1734,4130.1353383458645
query_6731_v0,1,2,2614.0,416.0,10000,860,4696.094873756695
query_6731_v0,1,3,2701.0,396.0,10007,682,4398.135505368382
query_6731_v0,1,4,2680.0,405.0,10007,639,4491.179104477612
query_6731_v0,1,5,2731.0,392.0,10000,702,4191.049432442329
