query, nbtp,count,countime,var,dv,df,timedv,timedf
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1673'}}]}}, time:0.12516093254089355,,,,
data:{'head': {'vars': ['cdp']}, 'results': {'bindings': [{'cdp': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '13'}}]}}, time:0.10607790946960449,,,,
data:{'head': {'vars': ['cdo']}, 'results': {'bindings': [{'cdo': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '14849'}}]}}, time:0.15673208236694336,,,,
data:{'head': {'vars': ['cds']}, 'results': {'bindings': [{'cds': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1711'}}]}}, time:0.16297197341918945,,,,
data:{'head': {'vars': ['cdv9']}, 'results': {'bindings': [{'cdv9': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2'}}]}}, time:3.1306912899017334,,,,
data:{'head': {'vars': ['cdv7']}, 'results': {'bindings': [{'cdv7': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '12'}}]}}, time:5.319613933563232,,,,
data:{'head': {'vars': ['cdv10']}, 'results': {'bindings': [{'cdv10': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2'}}]}}, time:5.310614824295044,,,,
data:{'head': {'vars': ['cdv4']}, 'results': {'bindings': [{'cdv4': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '12'}}]}}, time:4.07238507270813,,,,
data:{'head': {'vars': ['cdv5']}, 'results': {'bindings': [{'cdv5': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '7'}}]}}, time:4.415056943893433,,,,
data:{'head': {'vars': ['cdv1']}, 'results': {'bindings': [{'cdv1': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '21'}}]}}, time:3.496774911880493,,,,
data:{'head': {'vars': ['cdv6']}, 'results': {'bindings': [{'cdv6': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '12'}}]}}, time:2.896111249923706,,,,
data:{'head': {'vars': ['cdv8']}, 'results': {'bindings': [{'cdv8': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '12'}}]}}, time:3.365036725997925,,,,
data:{'head': {'vars': ['cdv11']}, 'results': {'bindings': [{'cdv11': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2'}}]}}, time:4.235980033874512,,,,
data:{'head': {'vars': ['cdv0']}, 'results': {'bindings': [{'cdv0': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '2'}}]}}, time:4.626017093658447,,,,
data:{'head': {'vars': ['cdv2']}, 'results': {'bindings': [{'cdv2': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '8530'}}]}}, time:5.676744222640991,,,,
data:{'head': {'vars': ['cdv12']}, 'results': {'bindings': [{'cdv12': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '6'}}]}}, time:6.105148077011108,,,,
